0	398	0.00000e+00	-4.02588e+00
1	2014	1.50000e-02	-8.05664e-02
2	1958	3.00000e-02	-2.17285e-01
3	1900	4.50000e-02	-3.58887e-01
4	1841	6.00000e-02	-5.02930e-01
5	1784	7.50000e-02	-6.42090e-01
6	1728	9.00000e-02	-7.78809e-01
7	1672	1.05000e-01	-9.15527e-01
8	1616	1.20000e-01	-1.05225e+00
9	1562	1.35000e-01	-1.18408e+00
10	1507	1.50000e-01	-1.31836e+00
11	1453	1.65000e-01	-1.45020e+00
12	1398	1.80000e-01	-1.58447e+00
13	1345	1.95000e-01	-1.71387e+00
14	1291	2.10000e-01	-1.84570e+00
15	1238	2.25000e-01	-1.97510e+00
16	1185	2.40000e-01	-2.10449e+00
17	1136	2.55000e-01	-2.22412e+00
18	1086	2.70000e-01	-2.34619e+00
19	1039	2.85000e-01	-2.46094e+00
20	991	3.00000e-01	-2.57812e+00
21	945	3.15000e-01	-2.69043e+00
22	897	3.30000e-01	-2.80762e+00
23	853	3.45000e-01	-2.91504e+00
24	808	3.60000e-01	-3.02490e+00
25	768	3.75000e-01	-3.12256e+00
26	726	3.90000e-01	-3.22510e+00
27	689	4.05000e-01	-3.31543e+00
28	650	4.20000e-01	-3.41064e+00
29	614	4.35000e-01	-3.49854e+00
30	579	4.50000e-01	-3.58398e+00
31	545	4.65000e-01	-3.66699e+00
32	514	4.80000e-01	-3.74268e+00
33	483	4.95000e-01	-3.81836e+00
34	455	5.10000e-01	-3.88672e+00
35	429	5.25000e-01	-3.95020e+00
36	404	5.40000e-01	-4.01123e+00
37	381	5.55000e-01	-4.06738e+00
38	359	5.70000e-01	-4.12109e+00
39	339	5.85000e-01	-4.16992e+00
40	321	6.00000e-01	-4.21387e+00
41	305	6.15000e-01	-4.25293e+00
42	291	6.30000e-01	-4.28711e+00
43	279	6.45000e-01	-4.31641e+00
44	269	6.60000e-01	-4.34082e+00
45	259	6.75000e-01	-4.36523e+00
46	252	6.90000e-01	-4.38232e+00
47	244	7.05000e-01	-4.40186e+00
48	238	7.20000e-01	-4.41650e+00
49	240	7.35000e-01	-4.41162e+00
50	250	7.50000e-01	-4.38721e+00
51	258	7.65000e-01	-4.36768e+00
52	266	7.80000e-01	-4.34814e+00
53	277	7.95000e-01	-4.32129e+00
54	288	8.10000e-01	-4.29443e+00
55	302	8.25000e-01	-4.26025e+00
56	318	8.40000e-01	-4.22119e+00
57	336	8.55000e-01	-4.17725e+00
58	355	8.70000e-01	-4.13086e+00
59	378	8.85000e-01	-4.07471e+00
60	402	9.00000e-01	-4.01611e+00
61	427	9.15000e-01	-3.95508e+00
62	452	9.30000e-01	-3.89404e+00
63	482	9.45000e-01	-3.82080e+00
64	512	9.60000e-01	-3.74756e+00
65	543	9.75000e-01	-3.67188e+00
66	576	9.90000e-01	-3.59131e+00
67	611	1.00500e+00	-3.50586e+00
68	647	1.02000e+00	-3.41797e+00
69	686	1.03500e+00	-3.32275e+00
70	726	1.05000e+00	-3.22510e+00
71	767	1.06500e+00	-3.12500e+00
72	809	1.08000e+00	-3.02246e+00
73	854	1.09500e+00	-2.91260e+00
74	900	1.11000e+00	-2.80029e+00
75	947	1.12500e+00	-2.68555e+00
76	995	1.14000e+00	-2.56836e+00
77	1043	1.15500e+00	-2.45117e+00
78	1093	1.17000e+00	-2.32910e+00
79	1142	1.18500e+00	-2.20947e+00
80	1193	1.20000e+00	-2.08496e+00
81	1247	1.21500e+00	-1.95312e+00
82	1301	1.23000e+00	-1.82129e+00
83	1356	1.24500e+00	-1.68701e+00
84	1410	1.26000e+00	-1.55518e+00
85	1466	1.27500e+00	-1.41846e+00
86	1521	1.29000e+00	-1.28418e+00
87	1578	1.30500e+00	-1.14502e+00
88	1633	1.32000e+00	-1.01074e+00
89	1690	1.33500e+00	-8.71582e-01
90	1745	1.35000e+00	-7.37305e-01
91	1805	1.36500e+00	-5.90820e-01
92	1863	1.38000e+00	-4.49219e-01
93	1923	1.39500e+00	-3.02734e-01
94	1982	1.41000e+00	-1.58691e-01
95	2043	1.42500e+00	-9.76562e-03
96	2101	1.44000e+00	1.31836e-01
97	2163	1.45500e+00	2.83203e-01
98	2222	1.47000e+00	4.27246e-01
99	2281	1.48500e+00	5.71289e-01
100	2340	1.50000e+00	7.15332e-01
101	2398	1.51500e+00	8.56934e-01
102	2453	1.53000e+00	9.91211e-01
103	2510	1.54500e+00	1.13037e+00
104	2566	1.56000e+00	1.26709e+00
105	2621	1.57500e+00	1.40137e+00
