0	2048	0.00000e+00	2.44141e-03
1	1997	1.00000e-01	-1.22070e-01
2	2517	2.00000e-01	1.14746e+00
3	2989	3.00000e-01	2.29980e+00
4	3370	4.00000e-01	3.22998e+00
5	3607	5.00000e-01	3.80859e+00
6	3673	6.00000e-01	3.96973e+00
7	3549	7.00000e-01	3.66699e+00
8	3268	8.00000e-01	2.98096e+00
9	2860	9.00000e-01	1.98486e+00
10	2374	1.00000e+00	7.98340e-01
11	1848	1.10000e+00	-4.85840e-01
12	1351	1.20000e+00	-1.69922e+00
13	919	1.30000e+00	-2.75391e+00
14	609	1.40000e+00	-3.51074e+00
15	451	1.50000e+00	-3.89648e+00
16	481	1.60000e+00	-3.82324e+00
17	687	1.70000e+00	-3.32031e+00
18	1042	1.80000e+00	-2.45361e+00
19	1500	1.90000e+00	-1.33545e+00
20	1966	2.00000e+00	-1.97754e-01
21	2488	2.10000e+00	1.07666e+00
22	2965	2.20000e+00	2.24121e+00
23	3352	2.30000e+00	3.18604e+00
24	3597	2.40000e+00	3.78418e+00
25	3678	2.50000e+00	3.98193e+00
26	3560	2.60000e+00	3.69385e+00
27	3289	2.70000e+00	3.03223e+00
28	2886	2.80000e+00	2.04834e+00
29	2403	2.90000e+00	8.69141e-01
30	1879	3.00000e+00	-4.10156e-01
31	1380	3.10000e+00	-1.62842e+00
32	941	3.20000e+00	-2.70020e+00
33	623	3.30000e+00	-3.47656e+00
34	456	3.40000e+00	-3.88428e+00
35	473	3.50000e+00	-3.84277e+00
36	670	3.60000e+00	-3.36182e+00
37	1017	3.70000e+00	-2.51465e+00
38	1471	3.80000e+00	-1.40625e+00
39	1983	3.90000e+00	-1.56250e-01
40	2502	4.00000e+00	1.11084e+00
41	2977	4.10000e+00	2.27051e+00
42	3362	4.20000e+00	3.21045e+00
43	3604	4.30000e+00	3.80127e+00
44	3675	4.40000e+00	3.97461e+00
45	3555	4.50000e+00	3.68164e+00
46	3279	4.60000e+00	3.00781e+00
47	2872	4.70000e+00	2.01416e+00
48	2388	4.80000e+00	8.32520e-01
49	1863	4.90000e+00	-4.49219e-01
50	1364	5.00000e+00	-1.66748e+00
51	930	5.10000e+00	-2.72705e+00
52	614	5.20000e+00	-3.49854e+00
53	453	5.30000e+00	-3.89160e+00
54	468	5.40000e+00	-3.85498e+00
55	654	5.50000e+00	-3.40088e+00
56	993	5.60000e+00	-2.57324e+00
57	1443	5.70000e+00	-1.47461e+00
58	1952	5.80000e+00	-2.31934e-01
59	2474	5.90000e+00	1.04248e+00
60	2953	6.00000e+00	2.21191e+00
61	3343	6.10000e+00	3.16406e+00
62	3594	6.20000e+00	3.77686e+00
63	3678	6.30000e+00	3.98193e+00
64	3567	6.40000e+00	3.71094e+00
65	3298	6.50000e+00	3.05420e+00
66	2899	6.60000e+00	2.08008e+00
67	2417	6.70000e+00	9.03320e-01
68	1893	6.80000e+00	-3.75977e-01
69	1391	6.90000e+00	-1.60156e+00
70	951	7.00000e+00	-2.67578e+00
71	629	7.10000e+00	-3.46191e+00
72	458	7.20000e+00	-3.87939e+00
73	471	7.30000e+00	-3.84766e+00
74	663	7.40000e+00	-3.37891e+00
75	1006	7.50000e+00	-2.54150e+00
76	1460	7.60000e+00	-1.43311e+00
77	1969	7.70000e+00	-1.90430e-01
78	2490	7.80000e+00	1.08154e+00
79	2966	7.90000e+00	2.24365e+00
80	3352	8.00000e+00	3.18604e+00
81	3597	8.10000e+00	3.78418e+00
82	3675	8.20000e+00	3.97461e+00
83	3554	8.30000e+00	3.67920e+00
84	3225	8.40000e+00	2.87598e+00
85	2764	8.50000e+00	1.75049e+00
86	2323	8.60000e+00	6.73828e-01
87	1925	8.70000e+00	-2.97852e-01
88	1607	8.80000e+00	-1.07422e+00
89	1366	8.90000e+00	-1.66260e+00
90	1279	9.00000e+00	-1.87500e+00
91	1329	9.10000e+00	-1.75293e+00
92	1420	9.20000e+00	-1.53076e+00
93	1615	9.30000e+00	-1.05469e+00
94	1792	9.40000e+00	-6.22559e-01
95	1941	9.50000e+00	-2.58789e-01
96	2028	9.60000e+00	-4.63867e-02
97	2112	9.70000e+00	1.58691e-01
98	2190	9.80000e+00	3.49121e-01
99	2255	9.90000e+00	5.07812e-01
100	2297	1.00000e+01	6.10352e-01
101	2311	1.01000e+01	6.44531e-01
102	2293	1.02000e+01	6.00586e-01
103	2251	1.03000e+01	4.98047e-01
104	2188	1.04000e+01	3.44238e-01
105	2133	1.05000e+01	2.09961e-01
106	1999	1.06000e+01	-1.17188e-01
107	1841	1.07000e+01	-5.02930e-01
108	1701	1.08000e+01	-8.44727e-01
109	1597	1.09000e+01	-1.09863e+00
110	1539	1.10000e+01	-1.24023e+00
111	1543	1.11000e+01	-1.23047e+00
112	1603	1.12000e+01	-1.08398e+00
113	1710	1.13000e+01	-8.22754e-01
114	1853	1.14000e+01	-4.73633e-01
115	2015	1.15000e+01	-7.81250e-02
116	2183	1.16000e+01	3.32031e-01
117	2336	1.17000e+01	7.05566e-01
118	2460	1.18000e+01	1.00830e+00
119	2538	1.19000e+01	1.19873e+00
120	2564	1.20000e+01	1.26221e+00
121	2528	1.21000e+01	1.17432e+00
122	2454	1.22000e+01	9.93652e-01
123	2334	1.23000e+01	7.00684e-01
124	2196	1.24000e+01	3.63770e-01
125	2000	1.25000e+01	-1.14746e-01
126	1754	1.26000e+01	-7.15332e-01
127	1512	1.27000e+01	-1.30615e+00
128	1325	1.28000e+01	-1.76270e+00
129	1215	1.29000e+01	-2.03125e+00
130	1148	1.30000e+01	-2.19482e+00
